name,initial,imageUrl,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,city,timestamp
Kaiser Engineers,,,4.0,1 Ratings,"Sambandam RS Puram Coimbatore, Coimbatore",,,AC Repair & Services-Daikin|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
O General Ac Repairs,,,4.0,1 Ratings,"Gandhipuram, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
T.s.electricals,+,,4.0,1 Ratings,"Street Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Kovai Aircon,+,,4.1,126 Ratings,"Feet Road Gandhipuram Coimbatore, Coimbatore",,,AC Dealers-Carrier|AC Repair & Services,true,true,false,true,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
M K S Electronics,+,,4.5,8 Ratings,"C.K Colony Sidhapudur, Coimbatore",,,Electronic Goods Showrooms|AC Repair & Services,true,true,false,false,true,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Keerthana Electronic Shop,,,0,0 Ratings,"Power House Road Gandhipuram, Coimbatore",,,Electronic Goods Repair & Services|AC Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.464Z
Aircoole,+,,0,0 Ratings,"Cut Road Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|AC Repair & Services-LG,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Hazier appliance (India) P limited,,,0,0 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Mobile Phone Dealers,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Perumal Store(Sales & Repair Services),,,0,0 Ratings,"Avinashi Road Chinniyampalayam, Coimbatore",,,Refrigerator Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
G P S Electricals,,,0,0 Ratings,"5th Street Rs Puram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Max Vision,,,0,0 Ratings,"Bykara Office Road Tatabad, Coimbatore",,,TV Dealers|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Freeze Line,+,,0,0 Ratings,"15/15 RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Second Hand AC Dealers,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Myfriend,,,0,0 Ratings,"Cut Road Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Plumbing Contractors,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Mridhini Hvac Solutions,+,,0,0 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|AC Installation Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Barani Electricals,,,0,0 Ratings,"Kovil RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Everest Ac Service,,,0,0 Ratings,"NEHRU STREET Rathinapuri, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Cool Star,,,0,0 Ratings,"Db Road Rs Puram Coimbatore, Coimbatore",,,AC Repair & Services|Refrigerator Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
RR SERVICE,,,0,0 Ratings,"New Bridge Sivananda Colony, Coimbatore",,,AC Repair & Services|Microwave Oven Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
P R Electricals,+,,0,0 Ratings,"Nehru Street Ram Nagar, Coimbatore",,,AC Repair & Services|Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Santhi Electronics,,,0,0 Ratings,"R.S.Puram East Rajapalayam, Coimbatore",,,Electronic Goods Repair & Services|AC Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
City AIR Cool,,,0,0 Ratings,"Vcv Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Comfort Engineers,,,0,0 Ratings,"C. V. Swamy Road, Coimbatore",,,Window AC Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Bharath Ac Service,,,0,0 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Arjun Electronics,,,0,0 Ratings,"Road Rs Puram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Sairam Associates,+,,0,0 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|AC Repair & Services-LG,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
JJ Chill Park,+,,0,0 Ratings,"Road Rs Puram Coimbatore, Coimbatore",,,Refrigerator Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Best Interior,+,,0,0 Ratings,"Road Rs Puram Coimbatore, Coimbatore",,,Decorative,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Airccon Corporation,+,,0,0 Ratings,"Tatabad, Coimbatore",,,AC Repair & Services|Computer Printer Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Baseline Technologies,,,0,0 Ratings,"Extension Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|AC Part Dealers,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
P B & Sons,,,0,0 Ratings,"Tatabad, Coimbatore",,,AC Repair & Services|AC Equipment Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Freeze Engineers,,,0,0 Ratings,"New No 53 & 114 Tatabad, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Subhatra Airconditioners,+,,0,0 Ratings,"Tank Road Tatabad, Coimbatore",,,AC Repair & Services|AC Dealers,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Raj AIR Collers,,,0,0 Ratings,"Nerhu Street Ram Nagar, Coimbatore",,,AC Repair & Services|AC Repair & Services-LG,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Ac Repair and Service Coimbatore,,,0,0 Ratings,"Sivananda Colony, Coimbatore",,,AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Creative Cool Engineering,,,0,0 Ratings,"VOC Street Sivananda Colony, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Delta,,,0,0 Ratings,"Rathinapuri, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Perfect Engineering,,,0,0 Ratings,"Tatabad, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
AIR Cooler Service,,,0,0 Ratings,"TATABAD 7TH STREET Tatabad, Coimbatore",,,AC Repair & Services|Air Cooler Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Nollet Ac Care AIR Conditioner,,,0,0 Ratings,"Ganapathy Tatabad, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Ottajees,,,0,0 Ratings,"Tatabad, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Merittrac Services Pvt Ltd,,,0,0 Ratings,"Feet Road Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
frost vibe,,,0,0 Ratings,"Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|AC Dealers,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Sri Sai AIR Conditioners,,,0,0 Ratings,"School Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Smart Home Appliances,,,0,0 Ratings,"7thstreet Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Dls Solar Automation,,,0,0 Ratings,"STREET Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Phoenix Ac Engineers,+,,0,0 Ratings,"Street Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
NEWTECH ELECTRICALS &HOME APPLIANCES,,,0,0 Ratings,"No Gandhipuram Coimbatore, Coimbatore",,,Home Appliance Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Vijai Industries,,,0,0 Ratings,"Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Thendral dth,,,0,0 Ratings,"Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|DTH TV Broadcast Service Providers-Tata Play,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Ac Company (Wrg),+,,0,0 Ratings,"Nagar Gandhipuram Coimbatore, Coimbatore",,,Refrigerator Repair & Services|AC Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Sdanduct,+,,0,0 Ratings,"Extension Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|AC Dealers,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Maharaja Electronics,,,0,0 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.465Z
Cool Tech,,,0,0 Ratings,"Road Sriavanashilingam Hsc, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.466Z
Pinnacle Services,,,0,0 Ratings,"Nehru Street Ram Nagar, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.466Z
V N Power Care,,,0,0 Ratings,"Mecrikar Road RS Puram, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.466Z
Venus Air Conditioning Specialist,+,,0,0 Ratings,"11th Street Gandhipuram, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.466Z
Max Vision,,,0,0 Ratings,"Vckn Layout, Coimbatore",,,Electronic Goods Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.466Z
Adarsh Aircon,,,0,0 Ratings,"Street RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|AC Repair & Services-LG,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.466Z
Spot Service,+,,0,0 Ratings,"Road Gandhipuram Coimbatore, Coimbatore",,,Mobile Phone Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.466Z
Akil Electronics & Home Appliance,+,,0,0 Ratings,"Road East RS Puram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.466Z
Jj Chills Park,,,0,0 Ratings,Coimbatore,,,AC Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.466Z
Airking Refgiration,,,0,0 Ratings,"Road Sriavanashilingam HSC, Coimbatore",,,AC Repair & Services|Refrigerator Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.466Z
E N Service,+,,0,0 Ratings,"Gounder Layout Sivananda Colony, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
SKY BREEZE AC SOLUTION,+,,0,0 Ratings,"Alagesan Road Saibaba Colony, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
Rapid Repair zone,,,0,0 Ratings,"Feet Road Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
Sai AIR Conditioners,,,0,0 Ratings,"Dr Radhakrishnan Road Tatabad, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
EarthAc service centre,,,0,0 Ratings,Coimbatore,,,AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
Ahjil Electronics,,,0,0 Ratings,"Light House Road Kollupuram, Coimbatore",,,Electronic Goods Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
AK Home Care,,,0,0 Ratings,"Annamalai Road Saibaba Colony, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
KUMARAN TRADERS,,,0,0 Ratings,"Road Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
Green Star Refrigeration & Airconditioning,,,0,0 Ratings,"7th Street Extension Gandhipuram, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
Green Star Service,,,0,0 Ratings,"Street Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
Thermal Channel Associates,+,,0,0 Ratings,"NSR road Saibaba Colony, Coimbatore",,,AC Repair & Services|AC Installation Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
Noble Refrigeration,+,,0,0 Ratings,"Road RS Puram Coimbatore, Coimbatore",,,Refrigerator Repair & Services|AC Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
Ks Electricals Works,+,,0,0 Ratings,"Gandhipuram Coimbatore, Coimbatore",,,AC Repair & Services|Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
SJM Enterprises,,,0,0 Ratings,"Trichy Road Coimbatore Central, Coimbatore",,,AC Repair & Services|Electronic Goods Repair & Services,false,true,false,false,false,AC Repair & Services,"Thiruvenkadam Street, Coimbatore",2025-05-28T06:57:48.467Z
